ID #,Date In,ST,TT,Wheel,Color,ColorName,Brand,Model,Quality,Condition,Status,DateOut,Value,Remarks,,,
900,08/15/11,18,21,,000000,Black,Raleigh,Cayote Pass USA,,,,,,,,,
901,09/02/11,19.5,,559,000000,Black,Bridgestone,MB6,C,F,,,,Frame,,,
905,08/15/11,22,23.5,559,000000,Black,Giant,Iguana,B,D,,,,,,,
907,08/15/11,20,22.5,559,000000,Black,Trek,Singletrack 930,A,C,,,,,,,
918,09/17/11,19,21.5,559,000000,Black,Huffy,Echelon,D,B,,,,,,,
924,09/26/11,20.5,21,622,000000,Black,Tommaso,IMOLA,A,F,,,,Same as before,,,
926,09/26/11,21,23.5,559,000000,Black,Schwinn,High Sierra,A,B,,,,,,,
940,10/01/11,23,22,630,000000,Black,Schwinn,World Sport,B,C,As-is,10/22/11,,,,,
950,10/10/11,22,22,622,000000,Black,Mongoose,Dynametric,B,B,,,,,,,
951,10/10/11,18,21.5,622,000000,Black,Schwinn,Crisscross,B,B,Earn a Bike ,,,,,,
973,06/27/11,,,,000000,Black,,,,,Earn a Bike ,07/09/11,32,32,,,
979,02/19/11,12,,559,000000,Black,Raleigh,M20,B,C,As-is,08/20/11,75,75,,,
1137,03/03/12,22.4,21.65,622,000000,Black,Cannondale,,A,C,As-is,04/06/12,80,80 – 10 Volunteer Hours,,,
1149,04/02/12,14.5,,559,000000,Black,TreK,800,C,C,Fix for Sale,04/07/12,30,30,,,
3,02/17/11,23,,559,808080,Gray,Schwinn,Cruiser,C,D,Buildathon,07/10/13,,,,,
32,02/19/11,22,,559,808080,Gray,Raleigh,M30,B,D,Earn a Bike,05/23/11,,,,,
67,02/19/11,0,,,808080,Gray,Volksbike,,B,B,Earn a Bike,,,,,,
76,02/19/11,23,,630,808080,Gray,Schwinn,Traveler,B,B,,,,,,,
83,02/19/11,18,,630,808080,Gray,,,D,C,Scrap,04/03/11,,,,,
84,02/19/11,19,,559,808080,Gray,Specialized,Expedition,B,D,As-is,06/04/11,,,,,
87,02/19/11,25.5,,622,808080,Gray,Nashbar,,A,F,As-is,04/28/11,,Earn a Bike (last season...),,,
90,02/19/11,22,,630,808080,Gray,Huffy,Carrera,D,D,As-is,08/05/11,,,,,
107,02/19/11,25,,622,808080,Gray,SR,,C,F,,,,,,,
123,02/19/11,20,,630,808080,Gray,Viscount,,C,D,,,,,,,
134,06/30/11,,,,808080,Gray,Mongoose,,C,,As-is,07/16/11,,,,,
142,02/19/11,22,,630,808080,Gray,CDI,,C,C,,,,,,,
146,02/19/11,21,,559,808080,Gray,Gary Fisher,Marlin,B,D,,,,,,,
158,02/26/11,18,,559,808080,Gray,Mongoose,Sycamore,C,C,As-is,05/21/11,65,65,,,
168,02/26/11,18.5,,559,808080,Gray,Norco,Scorcher,C,D,Buildathon,07/10/13,,,,,
169,02/26/11,20.25,,,808080,Gray,Columbia,Bromleigh,C,B,,,,,,,
181,03/13/11,19,,559,808080,Gray,Specialized,Rockhopper,,,,,,,,,
